OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu190,228,109,329,14,15,9,16,4,48,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae 1,g__Proteiniclasticum,
Otu188,0,0,10,0,2,0,216,32,269,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
Otu453,0,0,0,214,15,13,241,6,11,k__Bacteria,p__Saccharibacteria,,,,,
Otu218,10,13,18,66,135,37,176,12,76,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu287,35,18,20,116,41,10,253,4,37,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__uncultured,
Otu102,0,0,6,0,10,4,81,47,404,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aquamicrobium,
Otu196,2,4,4,10,23,6,156,44,243,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
Otu250,36,20,46,61,34,25,140,27,128,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Lineage I (Endomicrobia),,,
Otu130,177,182,345,0,0,0,3,0,1,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
Otu140,0,0,0,0,5,1,282,21,174,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu222,0,0,1,289,132,93,1,0,3,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
Otu260,0,1,0,226,117,24,78,11,74,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Lactivibrio,
Otu125,76,103,356,1,4,2,45,6,64,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
